restaurant_name,restaurant_url,restaurant_phones,restaurant_reviewers_name,restaurant_reviewers_selection1
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Bob G.,"I came in today to troubleshoot a phone and computer. By the time I was done, I was starving! I hadn't been to this location since our kids were teenagers and I didn't realize that they started serving lunch about a year ago. After I was finished with my work I sat in the bar and looked over their lunch menu. I really had a hard time trying to decide but it came down to the lasagna or the meatball sandwich. The bartender told me the lasagna was her favorite of the two so I went with it. It was much better than I expected and was comparable to my homemade lasagna. Even though the lunch portions are ""lunch"" size it was almost more than I could eat. I was glad I didn't go with a salad or garlic bread because I would have definitely over indulged. The only let down was I was so hungry that I forget to take a picture to post here. If you're in their neighborhood stop in for lunch.
I can't say much about their family style dinners since it's been so long. It was always a fun atmosphere with a small group and a great place to feed teenagers. It sounds like that part hadn't changed."
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Brandon V.,"Buca di Beppo might be the most flamboyantly fun restaurant in Seattle!
Went there for my birthday recently and had an absolutely fabulous time. The food was delicious but you have to know what to order. The meatballs, meatballs, meatballs galore! Do yourself a favor and order the Brussels sprouts, garlic cheese bread and a pizza too! Also don't forget a few 22oz beers ;)
The servers are friendly, the atmosphere is ridiculous and festive and the laughter fills the dining room and goes through the roof. The place is clean and well maintained, decorations everywhere.
Highly recommended :)"
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Alice X.,"This place is OK, just OK for me because I'm not a die hard fan of pasta. It's perfect for a large group of hungry people. Portions are huge! You'll have food for days!
The decor of the restaurant is basically your classic Italian restaurant.
The place is also kids friendly. Kids get crayons to draw.
The servers are also really nice and efficient."
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Yuchen Z.,"Oh Bucca....how I love thy for your large portions and delicious pastas.
Atmosphere: very old school traditional/stereotypical Italian restaurant with the red & white table cloths and Christmas decor all around. Large pasta sauces every where and pictures of people that have eaten there on the walls.
Food:
Huge portions - they only feed 3 (small) or 5 (large) and there's still plenty for leftovers. I come here with my partner and we get the small, and between the two of us, we can get in a total of 6 meals (so once sit down and 2 times eating the leftovers). But that applied mainly to their Sunday Family Dinners which I think is the best deal. You get garlic bread, salad, sausage, meatballs, and a giant bowl of ziti. We've come here many times for this special and it feeds up halfway through the week. Highly recommend!
+ We've come here for their other pastas as well and I have not been disappointed with their flavors. If you come here just for the pastas, I'd recommend coming with a group because if you order just one dish, there's a lack of variety. That's why some people complain about the prices. It really should be family style.
Overall, I highly recommend Bucca for their Sunday Family Dinners and Half Off Meatball Mondays. Otherwise, if you come here with a large group, it's good to order just a few dishes to share to offset the prices."
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Rebecca F.,"First time back in 7 years!
Nice waiter, mediocre large portions of food, and found a hard piece of plastic in a dinner roll. Might be another 7 years until we return."
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Alexis M.,"The portions are huge. They feed way more than the suggested serving on the menu. The food is pretty average tho, but their caesar salad is amazing. Also don't come here if you are vegan, all of their pasta includes eggs."
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Marlowe C.,"Enjoyed the hospitality, the supremo pizza was delicious parking across the street. Cozy and comfortable seating looking forward to coming back."
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,A H.,"I ordered food for my staff of 4 people. This location is 0.6 miles away, which is an 11 minute walk. It took the delivery driver 85 minutes to arrive at our location. The food is cold and soggy. No apology or reimbursement was given. We will never patronize from this establishment again."
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Nichole B.,"Very good italian food! Huge portions and great service. I recommend the baked ziti, chicken carbonara and the chopped antipasto salad."
Buca di Beppo Italian Restaurant,https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=8600d195203d4cdf&signature=ba94d1231031faf78051d9e5b6ff476cf5ef8a4f54561650723d9877ea01df87&slot=0,(206) 244-2288,Tony J.,"Family style Italian restaurant on Westlake Ave in SLU. Went there for lunch with a party of a dozen people on a weekday, and we were one of the first parties to arrive. Mid-size interior with interesting decor. Services was pretty good.
Their menu has individual-portion options, but they also have a lot family-style options that's meant to serve a couple of people. We ended up ordering two salads, three pastas, and two tiramisu cakes for dessert. The salad, pasta and garlic bread servings were huge. We probably finished less than half of the food. I like the garlic bread and the tiramasu. The pasta and the salads were alright. Lots of quantity, but average quality. Two of the pastas looked and tasted kind of the same even though one was supposed to be spicy. Overall, a decent option to feed Italian food to large parties."
